(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:401, diff_time:60004, aver_flu_cnt:40097
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:11, diff_time:60000, aver_flu_cnt:1100
(XEN) flush_counter:18, diff_time:60000, aver_flu_cnt:1800
(XEN) flush_counter:16, diff_time:60004, aver_flu_cnt:1599
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
